sec,x,y
0,669.15,1082.12
0.567,660.31,1029.12
0.734,607.31,735.4
0.767,567.56,569.77
0.868,547.68,499.1
1.135,598.48,507.93
1.168,662.52,523.39
1.335,753.07,576.39
1.368,764.11,600.69
1.535,739.81,589.64
1.869,739.81,613.94
2.036,708.9,613.94
2.103,658.1,613.94
2.203,543.27,587.43
2.236,539.86,551.39
2.27,544.46,527.68
2.336,589.64,543.27
2.503,554.31,538.85
2.537,580.83,536.2
2.637,576.39,596.27
2.704,528.81,600.16
2.737,518.51,567.61
2.77,435.55,434.72
2.804,447.5,428.26
2.837,393.44,373.3
2.871,345.38,376.35
2.904,350.99,360.89
2.937,366.59,375.43
3.038,384.26,419.6
3.138,412.97,598.48
3.171,516.77,722.15
3.204,532.21,725.11
3.271,605.1,689.02
3.371,609.52,596.27
3.405,636.65,583.45
3.472,617.26,594.13
3.505,594.06,624.98
3.572,457.14,689.02
3.638,421.8,677.98
3.705,340.09,607.31
3.772,348.93,541.06
3.872,382.05,563.14
3.906,406.35,596.27
3.939,446.1,616.14
4.006,510.14,631.6
4.072,536.64,598.48
4.173,499.1,622.77
4.273,446.1,686.81
4.34,410.76,653.69
4.373,378.89,611.12
4.406,371.01,620.56
4.473,373.22,518.97
4.573,406.35,532.22
4.673,410.76,598.48
4.774,368.8,651.48
4.907,368.8,633.81
4.974,344.51,613.94
5.141,371.01,554.31
5.174,453.71,542.25
5.241,499.1,563.14
5.308,443.89,563.14
5.341,408.55,576.39
5.475,408.55,560.93
5.541,428.43,549.89
5.608,477.01,516.77
5.675,554.31,525.6
5.742,611.73,576.39
5.909,578.6,496.89
5.975,565.35,463.76
6.176,521.18,468.18
6.376,538.85,479.22
6.476,518.97,501.31
6.61,428.43,591.85
6.71,320.22,631.6
6.81,291.51,571.98
6.843,338.82,489.71
6.877,364.75,468.17
6.91,428.43,448.31
6.977,485.85,477.01
7.01,504.01,472.46
7.044,536.64,514.56
7.111,554.31,571.98
7.177,571.98,620.56
7.244,596.27,658.1
7.411,616.14,713.31
7.578,644.85,704.48
7.745,516.77,722.15
7.845,488.06,764.11
7.945,574.18,728.77
8.045,644.85,697.86
8.212,633.81,675.77
8.594,627.56,676.14
8.813,613.94,660.31
8.913,594.06,549.89
9.013,587.43,488.06
9.147,589.64,518.97
9.414,611.73,479.22
9.548,629.39,560.93
9.715,647.06,622.77
9.848,550.43,568.57
9.881,541.02,578.27
10.015,631.6,669.15
10.048,666.56,636.2
10.149,587.43,565.35
10.215,554.43,560.62
10.282,587.43,655.9
10.349,664.73,693.44
10.449,664.73,655.9
10.516,624.98,620.56
10.616,589.64,622.77
10.716,510.14,627.19
10.783,452.72,631.6
10.85,404.14,655.9
10.916,368.8,686.81
11.083,401.93,722.15
11.288,398.45,711.42
11.532,392.42,689
11.751,457.14,799.44
11.885,583.02,825.94
11.985,651.48,686.81
12.051,638.03,606.34
12.085,607.31,605.1
12.118,616.95,592.67
12.185,585.23,633.81
12.285,563.14,633.81
12.519,574.77,633.62
12.753,576.39,587.43
12.853,612.48,540.48
12.886,608.1,555.62
13.02,631.6,689.02
13.12,605.68,625.34
13.153,586.69,624.29
13.187,617.72,615.76
13.253,614.84,667.46
13.287,602.89,697.86
13.354,543.8,765.62
13.42,543.27,777.36
13.454,544.41,807.81
13.554,591.85,775.15
13.587,612.58,729.41
13.621,599.07,726.41
13.654,536.55,557.75
13.687,485.53,488.59
13.721,450.51,481.43
13.754,394.26,467.54
13.854,397.51,485.85
13.988,428.43,530.02
14.088,516.77,525.6
14.188,602.89,485.85
14.355,669.15,483.64
14.455,671.07,481.69
14.622,650.6,498.43
14.722,570.04,538.28
14.756,556.52,550.56
14.889,505.72,567.56
14.956,467.64,561.87
15.023,461.56,574.18
15.115,401.31,556.23
15.215,400.11,568.94
15.223,415.18,583.02
15.281,415.52,603.17
15.358,443.7,659.61
15.39,459.35,726.56
15.415,445.6,719.95
15.458,473.67,776.69
15.482,499.99,820.96
15.515,513.84,812.38
15.582,535.41,701.41
15.592,548.86,710.45
15.615,542.08,701.81
15.692,613.31,551.12
15.792,704.61,554.7
15.849,732.65,567.66
15.892,708.19,642.42
15.983,542.72,639.59
15.992,547.07,660.33
16.016,545.16,634.19
16.083,430.69,459.62
16.092,428.91,477.72
16.116,431.91,372.28
16.149,448.92,304.73
16.183,480.47,287.83
16.193,475.46,302.28
16.25,497.89,269.65
16.283,515.02,299.26
16.293,514.84,336.29
16.426,550.65,372.1
16.45,552.46,371.02
16.55,501.92,375.05
16.583,484.62,376.64
16.617,488.62,373.94
16.627,489.78,422.22
16.65,478.7,395.79
16.727,514.84,513.53
16.75,512.69,561.63
16.784,523.19,611.17
16.827,518.43,615.57
16.927,557.81,594.09
16.951,570.54,554.98
17.027,598.99,538.59
17.084,605.97,425.35
17.127,597.2,425.8
17.218,617.66,376.86
17.227,604.36,388.21
17.251,609.13,387.05
17.318,614.34,384.82
17.328,586.45,438.34
17.351,624.15,377.99
17.385,625.82,363.61
17.418,624.88,359.68
17.428,593.62,411.48
17.451,616.31,354.76
17.485,605.53,336.54
17.518,608.85,329.69
17.528,600.78,370.31
17.552,608.62,353.73
17.628,604.36,418.64
17.728,598.99,561.86
17.828,591.82,542.17
17.929,588.24,466.98
18.029,624.05,466.98
18.086,667.5,616.83
18.129,665.22,635.26
18.219,665.87,631.4
18.286,643.81,573.94
18.329,631.21,577.97
18.386,639.32,546.03
18.496,616.89,586.93
18.587,602.09,511.21
18.596,573.92,552.91
18.62,591.01,525.65
18.696,502.31,454.45
18.72,474.86,418.03
18.797,466.51,406.11
18.854,465.76,376.39
18.897,489.78,431.18
19.097,502.31,432.97
19.297,464.72,461.61
19.398,411.01,540.38
19.455,409.95,592.99
19.488,409.61,689.93
19.498,405.64,687.18
19.598,421.75,724.77
19.731,437.86,694.34
19.932,452.19,681.81
19.971,505.56,703.81
20.032,520.22,701.5
20.037,547.07,726.56
20.071,593.62,801.75
20.104,606.15,837.56
20.138,627.63,871.57
20.171,636.58,916.33
20.238,643.74,959.29
20.271,636.58,1014.79
20.305,640.16,1055.97
